Location,FIPS,Diabetes_Prevalence_Both_Sexes,Male_Obesity_%,Female_Obesity_%,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
Comanche County,48093,14.92,38.38,39.25,77.17,0.77,1.08,3.29,13.47,53.96,0.23,0.97,2.0,29.62,0.45,0.4,0.87,5.16,1.06,0.24,0.02,0.18,0.05,0.49,52.77,60.35
Concho County,48095,18.0,33.54,40.75,78.37,0.65,0.9,2.77,12.84,50.0,0.27,0.98,1.57,37.35,0.43,0.34,0.83,4.92,1.28,0.24,0.02,0.12,0.09,0.46,53.37,60.86
Cooke County,48097,13.91,38.93,38.82,77.22,0.75,1.08,3.31,13.89,53.08,0.16,0.93,2.12,33.93,0.42,0.32,0.71,4.77,1.03,0.25,0.01,0.13,0.03,0.42,45.58,52.5
Coryell County,48099,15.77,35.17,38.51,77.88,0.59,0.63,2.32,13.04,55.49,0.23,1.19,2.84,27.74,0.45,0.37,0.81,5.63,1.41,0.21,0.01,0.21,0.04,0.46,65.59,73.91
Cottle County,48101,16.07,39.31,43.58,77.46,0.77,1.04,3.07,13.75,52.1,0.21,0.86,1.79,23.01,0.47,0.28,0.88,4.1,1.22,0.31,0.02,0.12,0.03,0.47,52.79,59.45
Crane County,48103,16.89,39.96,41.31,75.88,0.8,1.12,3.44,14.26,60.43,0.25,0.89,1.82,34.4,0.45,0.25,0.74,4.61,1.57,0.23,0.02,0.08,0.06,0.39,82.33,89.65
Crockett County,48105,18.1,41.97,44.62,77.17,0.73,1.03,3.28,13.3,55.22,0.22,0.79,1.52,33.69,0.42,0.23,0.74,4.46,1.31,0.21,0.01,0.09,0.04,0.36,57.81,64.68
Crosby County,48107,17.78,37.89,43.51,77.03,0.72,0.95,3.21,13.83,55.46,0.27,1.29,2.1,35.65,0.53,0.4,0.9,5.26,1.14,0.27,0.02,0.08,0.03,0.39,59.34,67.03
Culberson County,48109,20.13,37.21,46.0,78.67,0.75,0.96,3.04,11.67,47.95,0.3,1.07,2.58,30.04,0.5,0.29,0.8,4.79,1.22,0.22,0.1,0.14,0.38,0.84,45.64,53.28
Dallam County,48111,15.52,38.1,39.35,75.6,0.94,1.28,3.6,15.78,58.47,0.25,1.15,2.4,37.58,0.61,0.37,1.02,5.49,1.27,0.32,0.05,0.13,0.04,0.54,88.97,97.29
Dallas County,48113,17.08,35.16,39.41,78.29,0.64,0.88,2.94,12.7,50.36,0.48,4.84,2.08,28.0,0.6,0.47,0.84,5.79,1.27,0.19,0.01,0.1,0.01,0.31,39.69,47.9
Dawson County,48115,18.66,40.26,45.08,76.97,0.76,1.01,3.42,14.18,53.55,0.29,1.45,1.81,27.94,0.53,0.39,0.9,5.5,1.59,0.22,0.01,0.07,0.03,0.33,53.32,61.64
Deaf Smith County,48117,18.27,38.11,43.83,77.58,0.85,1.02,3.09,12.76,52.75,0.28,1.03,2.91,34.62,0.61,0.51,0.87,4.81,1.09,0.2,0.02,0.08,0.02,0.32,57.08,64.18
Delta County,48119,14.74,37.33,40.64,75.54,0.91,1.19,3.87,15.68,59.13,0.21,1.25,1.9,40.81,0.51,0.34,0.92,4.04,1.33,0.27,0.03,0.18,0.02,0.5,59.54,66.32
Denton County,48121,13.61,36.21,35.48,80.8,0.41,0.55,1.55,8.68,48.49,0.24,0.97,1.71,31.87,0.35,0.27,0.6,4.38,0.8,0.2,0.01,0.2,0.02,0.43,55.4,61.6
DeWitt County,48123,16.82,38.94,39.78,77.27,0.69,1.1,3.27,13.91,52.94,0.22,1.2,1.5,25.88,0.4,0.45,0.91,5.3,1.23,0.24,0.01,0.19,0.03,0.47,34.3,42.22
Dickens County,48125,15.87,38.74,42.94,77.23,0.73,1.09,3.35,13.68,52.57,0.2,1.02,1.6,32.43,0.47,0.3,0.97,4.85,1.2,0.21,0.02,0.12,0.03,0.38,65.54,72.94
Dimmit County,48127,21.91,43.24,48.15,77.8,0.74,1.04,3.24,13.83,49.68,0.47,1.55,1.5,50.85,0.45,0.28,0.76,5.8,0.68,0.2,0.01,0.08,0.02,0.3,27.29,34.83
Donley County,48129,14.41,37.61,38.79,76.46,0.85,1.08,3.6,15.24,54.73,0.2,1.11,2.1,32.13,0.51,0.3,0.97,4.4,1.3,0.3,0.03,0.17,0.02,0.52,84.02,91.21
Duval County,48131,22.96,39.06,43.79,76.64,0.72,1.16,3.69,14.91,53.74,0.37,1.38,1.26,35.99,0.42,0.33,0.81,5.99,0.93,0.23,0.01,0.1,0.02,0.36,33.55,41.64
Eastland County,48133,14.69,40.71,39.01,75.33,0.93,1.18,3.7,16.52,58.41,0.2,0.94,1.88,33.13,0.48,0.4,0.91,4.5,1.37,0.24,0.03,0.23,0.05,0.54,82.74,90.07
Ector County,48135,17.45,38.87,43.38,75.07,0.77,1.22,3.92,16.83,59.74,0.34,1.8,1.73,40.18,0.49,0.37,0.8,6.12,1.92,0.19,0.02,0.14,0.12,0.47,96.52,105.83
Edwards County,48137,17.23,37.25,43.34,79.51,0.66,0.87,2.75,10.9,46.13,0.21,0.61,1.35,23.39,0.36,0.24,0.76,4.67,0.89,0.2,0.01,0.13,0.04,0.38,34.8,41.51
Ellis County,48139,15.38,37.23,38.69,77.77,0.61,0.91,2.68,12.51,54.96,0.24,1.51,1.88,30.33,0.4,0.37,0.72,6.24,1.35,0.21,0.01,0.12,0.02,0.35,53.33,62.0
El Paso County,48141,20.41,35.93,40.41,79.79,0.55,0.69,2.39,10.73,47.1,0.53,1.93,2.31,21.53,0.44,0.49,0.62,5.48,0.93,0.13,0.01,0.11,0.02,0.27,33.06,40.36
Erath County,48143,14.26,37.03,37.52,78.45,0.64,0.73,2.68,12.34,51.62,0.19,0.85,1.6,26.16,0.37,0.36,0.76,4.8,1.17,0.22,0.01,0.15,0.04,0.43,55.06,62.21
Falls County,48145,17.91,37.96,45.66,76.13,0.86,1.11,3.52,15.92,55.14,0.41,2.36,2.75,46.32,0.54,0.47,0.96,5.56,1.58,0.25,0.01,0.22,0.07,0.55,46.09,54.74
Fannin County,48147,14.83,36.65,38.56,75.87,0.74,1.14,3.43,15.16,59.26,0.18,0.76,1.95,35.22,0.45,0.3,0.95,4.16,1.18,0.26,0.02,0.14,0.02,0.44,69.43,76.17
Fayette County,48149,14.27,36.22,39.78,79.26,0.63,0.95,2.72,11.19,47.25,0.18,1.04,1.31,27.24,0.33,0.28,0.76,3.98,1.04,0.24,0.01,0.2,0.03,0.48,31.66,37.92
Fisher County,48151,15.22,35.96,36.99,77.71,0.74,1.0,3.13,13.37,51.09,0.15,0.7,1.23,24.12,0.42,0.24,0.81,5.14,1.29,0.26,0.01,0.12,0.03,0.43,54.01,61.67
Floyd County,48153,17.25,38.38,41.92,78.25,0.69,0.88,2.89,12.41,50.6,0.25,1.18,1.95,27.3,0.52,0.37,0.9,6.0,1.21,0.24,0.02,0.1,0.02,0.38,59.52,68.01
Foard County,48155,15.02,39.14,42.55,77.59,0.76,0.97,3.19,14.26,50.64,0.16,0.76,1.65,22.41,0.43,0.26,0.81,3.71,1.15,0.29,0.02,0.12,0.03,0.45,49.48,55.6
Fort Bend County,48157,14.54,32.63,32.0,81.84,0.39,0.65,1.66,7.77,43.22,0.34,1.53,1.26,28.7,0.38,0.26,0.61,4.1,0.92,0.19,0.01,0.11,0.03,0.33,26.03,31.98
Franklin County,48159,14.09,38.63,39.19,77.83,0.78,1.03,3.08,13.08,50.99,0.19,1.09,1.66,30.07,0.45,0.32,0.84,4.15,1.18,0.25,0.02,0.19,0.02,0.48,50.47,57.11
Freestone County,48161,15.85,38.67,40.54,76.14,0.91,1.26,3.88,15.08,54.88,0.29,2.42,1.85,36.65,0.46,0.76,0.92,5.61,1.49,0.3,0.02,0.75,0.12,1.18,63.73,72.94
Frio County,48163,22.14,37.22,47.29,77.75,0.67,1.02,3.35,13.37,50.96,0.51,1.99,1.76,28.82,0.48,0.43,0.81,5.45,0.87,0.19,0.01,0.08,0.02,0.29,30.79,38.21
Gaines County,48165,16.66,42.27,46.66,77.94,0.68,0.99,2.96,12.9,51.89,0.23,0.73,2.17,25.87,0.48,0.29,0.84,4.28,1.26,0.25,0.04,0.08,0.04,0.4,52.98,59.76
Galveston County,48167,13.96,33.33,37.33,77.22,0.64,0.96,3.28,13.76,54.01,0.38,3.93,1.98,33.2,0.53,0.63,0.76,6.09,1.26,0.21,0.04,0.68,0.04,0.98,45.44,54.54
Garza County,48169,18.03,40.26,47.25,76.17,0.81,1.17,3.57,14.77,57.38,0.37,2.09,1.92,33.34,0.53,0.32,0.92,5.33,1.3,0.25,0.01,0.08,0.03,0.38,77.67,85.6
Gillespie County,48171,12.07,33.27,32.99,81.04,0.56,0.75,2.36,9.46,41.64,0.17,0.74,1.26,19.4,0.29,0.31,0.7,5.15,0.81,0.19,0.01,0.1,0.04,0.34,31.3,38.31
Glasscock County,48173,14.06,36.83,36.42,79.81,0.64,0.83,2.66,10.52,44.97,0.12,0.56,1.16,25.23,0.35,0.15,0.6,3.41,0.78,0.14,0.01,0.08,0.04,0.28,46.41,51.47
Goliad County,48175,16.09,35.98,36.11,79.36,0.6,0.89,2.73,11.6,46.24,0.17,0.94,1.24,25.0,0.34,0.37,0.76,4.75,0.91,0.2,0.01,0.19,0.02,0.42,34.55,41.39
Gonzales County,48177,17.51,38.81,45.48,77.05,0.77,1.19,3.66,14.2,51.9,0.38,1.52,1.69,29.44,0.42,0.51,0.93,5.26,1.39,0.23,0.03,0.22,0.06,0.53,43.26,51.37
Gray County,48179,15.46,39.05,39.03,75.4,0.96,1.2,3.82,15.86,58.07,0.22,1.21,1.88,25.72,0.53,0.32,1.02,4.39,1.45,0.24,0.02,0.24,0.02,0.53,101.96,109.36
Grayson County,48181,14.3,34.86,35.69,76.47,0.67,1.07,3.44,14.98,55.9,0.19,1.35,2.63,41.35,0.49,0.42,0.86,4.67,1.08,0.24,0.02,0.12,0.01,0.39,73.71,80.72
Gregg County,48183,15.67,39.67,40.97,75.51,0.86,1.21,3.93,16.14,57.39,0.37,2.68,1.8,30.17,0.65,0.35,0.8,5.6,1.56,0.25,0.03,0.48,0.08,0.85,66.97,75.78
Grimes County,48185,16.3,41.33,43.12,76.19,0.78,1.14,3.42,15.62,56.13,0.27,2.22,1.62,24.37,0.48,0.68,0.86,4.42,1.29,0.27,0.02,0.23,0.05,0.56,54.77,61.9
Guadalupe County,48187,15.66,37.48,41.27,79.71,0.53,0.79,2.45,10.7,47.3,0.23,0.99,1.65,22.12,0.31,0.42,0.71,5.02,0.92,0.17,0.01,0.15,0.04,0.37,36.35,43.37
Hale County,48189,18.45,38.72,41.7,77.9,0.65,0.87,2.79,12.79,53.14,0.3,1.43,2.07,30.57,0.55,0.38,0.96,5.78,1.16,0.21,0.04,0.14,0.03,0.42,62.71,71.03
Hall County,48191,16.56,38.87,43.25,76.23,0.83,1.12,3.4,14.78,56.53,0.23,1.08,1.78,25.31,0.49,0.3,1.01,4.66,1.29,0.26,0.02,0.14,0.03,0.45,79.58,86.98
Hamilton County,48193,13.55,36.32,36.47,76.74,0.79,1.1,3.52,14.37,54.49,0.18,0.82,1.81,38.07,0.4,0.39,0.82,4.39,0.97,0.26,0.01,0.17,0.05,0.49,59.64,66.31
Hansford County,48195,14.93,39.59,38.72,76.97,0.79,1.1,3.31,13.47,54.54,0.18,0.73,1.76,30.27,0.42,0.24,0.89,4.74,1.18,0.27,0.02,0.13,0.02,0.44,71.44,78.69
Hardeman County,48197,14.97,34.82,38.84,77.33,0.83,1.0,3.29,13.8,52.19,0.2,0.88,1.98,30.33,0.48,0.28,0.83,3.77,1.2,0.27,0.01,0.13,0.02,0.44,56.85,63.09
Hardin County,48199,14.54,37.83,41.89,75.8,0.77,1.21,3.65,15.03,58.96,0.25,1.58,1.3,33.57,0.46,0.41,0.74,5.41,1.04,0.27,0.02,0.96,0.06,1.31,85.11,93.62
Harris County,48201,16.9,35.04,38.62,78.74,0.58,0.85,2.88,11.97,49.36,0.57,5.21,1.62,33.06,0.55,0.42,0.65,4.41,0.93,0.2,0.01,0.2,0.03,0.44,33.46,39.89
Harrison County,48203,16.26,42.54,42.91,75.88,0.86,1.15,3.85,15.56,56.19,0.28,1.94,1.84,24.64,0.54,0.41,0.8,4.64,1.53,0.25,0.03,0.34,0.07,0.69,66.68,74.35
Hartley County,48205,13.53,39.17,39.38,80.59,0.61,0.74,2.27,9.24,44.79,0.14,0.69,1.65,24.09,0.41,0.25,0.78,4.39,0.93,0.23,0.04,0.12,0.03,0.42,54.78,61.3
Haskell County,48207,15.82,37.29,41.2,76.87,0.76,1.02,3.38,14.57,54.18,0.2,0.9,1.59,24.09,0.48,0.31,0.87,4.07,1.38,0.27,0.02,0.13,0.03,0.46,52.5,59.28
Hays County,48209,14.33,35.08,36.36,80.56,0.43,0.51,2.05,9.7,46.75,0.24,1.01,1.71,22.73,0.3,0.42,0.75,6.75,0.84,0.18,0.01,0.26,0.03,0.48,34.96,43.77
Hemphill County,48211,13.51,37.66,38.06,77.46,0.76,1.02,3.12,13.2,53.07,0.16,0.6,1.55,20.83,0.39,0.2,0.82,3.97,1.03,0.24,0.01,0.15,0.02,0.42,72.53,78.77
Henderson County,48213,15.19,37.66,39.64,75.33,0.8,1.35,4.28,16.49,56.94,0.25,2.63,1.79,26.09,0.46,0.73,0.9,5.57,1.16,0.24,0.01,0.35,0.04,0.64,68.31,76.58
Hidalgo County,48215,22.31,44.15,49.42,80.97,0.54,0.72,2.21,10.08,41.53,0.51,1.7,1.27,38.45,0.41,0.21,0.56,5.04,0.59,0.12,0.01,0.1,0.01,0.24,22.88,29.31
Hill County,48217,15.06,37.97,41.7,76.59,0.78,1.13,3.47,15.22,53.9,0.3,1.89,1.68,28.21,0.42,0.41,0.85,5.96,1.22,0.23,0.01,0.34,0.04,0.62,64.17,72.82
Hockley County,48219,15.99,38.33,40.19,76.82,0.7,1.05,3.22,14.17,56.13,0.22,1.11,2.09,28.19,0.51,0.34,0.87,5.11,1.13,0.22,0.03,0.09,0.02,0.36,66.3,73.77
Hood County,48221,13.44,36.91,35.9,78.13,0.68,0.94,3.12,12.4,51.29,0.26,1.34,1.78,21.11,0.37,0.4,0.73,5.42,1.33,0.21,0.01,0.29,0.04,0.55,62.96,70.98
Hopkins County,48223,14.69,41.23,42.2,76.79,0.72,1.18,3.43,14.55,54.22,0.21,1.41,1.72,26.03,0.48,0.38,0.93,4.4,1.38,0.28,0.03,0.27,0.03,0.6,57.21,64.52
Houston County,48225,16.94,39.1,41.62,75.67,0.84,1.32,3.91,16.07,55.9,0.39,3.94,1.68,37.75,0.55,0.63,1.03,5.19,1.59,0.28,0.02,0.58,0.08,0.95,58.63,67.39
Howard County,48227,17.03,38.75,42.23,74.89,0.91,1.24,3.96,16.8,60.43,0.27,1.89,1.66,38.76,0.53,0.35,0.88,5.01,1.55,0.2,0.01,0.1,0.03,0.34,96.42,104.2
Hudspeth County,48229,21.4,39.09,49.13,81.14,0.56,0.74,2.32,9.58,40.38,0.3,0.73,2.31,22.76,0.41,0.26,0.7,3.94,0.96,0.21,0.04,0.07,0.1,0.42,26.99,33.01
Hunt County,48231,15.42,38.39,41.26,75.95,0.76,1.11,3.76,16.01,56.16,0.29,2.14,1.88,27.88,0.49,0.43,0.88,4.36,1.2,0.26,0.05,0.23,0.03,0.56,61.14,68.15
Hutchinson County,48233,14.91,41.07,37.55,75.51,0.9,1.17,3.66,16.12,58.12,0.17,1.07,1.88,30.26,0.51,0.34,0.94,5.59,1.27,0.24,0.03,0.43,0.03,0.73,99.89,108.43
Irion County,48235,14.41,37.47,38.28,79.53,0.66,0.93,2.72,11.11,45.7,0.13,0.59,1.32,25.89,0.36,0.18,0.69,4.43,1.18,0.21,0.02,0.11,0.04,0.38,52.96,59.64
Jack County,48237,14.65,39.23,39.27,76.73,0.79,1.1,3.37,14.38,55.28,0.23,1.48,1.91,26.91,0.47,0.28,0.82,4.49,1.33,0.28,0.02,0.2,0.04,0.54,65.51,72.69
Jackson County,48239,15.73,38.36,42.2,77.26,0.73,1.1,3.07,14.28,52.5,0.22,1.43,1.5,31.49,0.42,0.47,0.84,5.32,1.17,0.22,0.01,0.2,0.03,0.46,43.77,51.55
Jasper County,48241,16.13,37.1,42.18,75.48,0.92,1.34,4.06,15.6,57.39,0.25,2.0,1.27,28.3,0.53,0.43,0.85,4.82,1.26,0.28,0.03,1.75,0.08,2.14,73.86,82.94
Jeff Davis County,48243,14.11,33.98,37.04,82.06,0.55,0.75,2.15,8.95,37.87,0.14,0.76,1.81,24.09,0.37,0.2,0.6,4.16,1.01,0.24,0.04,0.1,0.06,0.43,31.37,37.57
Jefferson County,48245,18.06,37.03,43.0,75.91,0.81,1.06,3.95,15.72,55.98,0.54,5.56,1.26,33.96,0.67,0.5,0.86,4.91,1.58,0.25,0.01,1.67,0.1,2.03,58.05,67.43
Jim Hogg County,48247,22.15,41.55,46.74,77.19,0.79,1.11,3.39,13.82,53.01,0.25,1.53,1.18,47.17,0.44,0.21,0.69,6.79,0.8,0.18,0.01,0.09,0.02,0.3,29.73,38.31
Jim Wells County,48249,20.83,38.59,45.22,76.45,0.68,1.11,3.81,15.0,54.99,0.28,1.33,1.34,29.58,0.39,0.42,0.74,5.07,1.16,0.2,0.02,0.18,0.02,0.42,39.95,47.33
Johnson County,48251,14.95,39.52,37.73,76.92,0.71,0.99,2.88,13.8,56.99,0.25,1.46,2.0,32.41,0.44,0.41,0.83,6.07,1.29,0.21,0.01,0.26,0.04,0.52,67.59,76.3
Jones County,48253,16.18,40.63,44.36,76.82,0.71,1.01,3.3,14.46,54.82,0.27,1.25,1.48,31.68,0.49,0.37,0.91,4.65,1.56,0.23,0.01,0.13,0.03,0.4,61.44,68.96
Karnes County,48255,18.72,38.54,43.43,77.02,0.69,1.1,3.35,14.35,53.57,0.31,2.32,1.54,28.89,0.42,0.56,0.91,5.12,1.32,0.22,0.01,0.14,0.03,0.39,45.32,53.05
Kaufman County,48257,15.5,38.62,40.02,75.91,0.69,1.15,3.39,15.38,58.89,0.3,2.02,1.66,28.08,0.43,0.42,0.84,5.04,1.19,0.23,0.02,0.2,0.02,0.47,70.25,77.78
Kendall County,48259,11.52,31.49,29.36,80.13,0.54,0.82,2.39,9.52,47.21,0.18,0.75,1.56,18.29,0.29,0.31,0.61,4.97,0.82,0.2,0.01,0.09,0.02,0.32,39.68,46.39
Kenedy County,48261,20.7,38.04,42.61,76.92,0.8,1.25,3.31,14.26,50.9,0.24,0.91,1.19,35.1,0.38,0.13,0.65,4.43,0.74,0.2,0.02,0.13,0.04,0.4,24.87,31.08
Kent County,48263,13.43,35.31,35.7,77.32,0.74,0.94,3.29,13.94,52.75,0.12,0.57,1.41,24.08,0.39,0.2,0.84,4.56,1.1,0.33,0.02,0.1,0.03,0.49,58.86,65.83
Kerr County,48265,13.95,32.72,34.43,78.76,0.65,0.95,3.1,12.47,46.94,0.26,1.26,1.61,24.31,0.37,0.39,0.82,6.24,1.14,0.19,0.01,0.17,0.03,0.39,43.94,52.54
Kimble County,48267,14.73,37.6,40.26,77.98,0.73,0.99,3.05,12.92,50.72,0.15,0.61,1.42,25.13,0.36,0.26,0.87,5.69,1.19,0.24,0.02,0.19,0.06,0.51,57.92,66.18
King County,48269,13.67,36.77,37.76,78.22,0.74,0.95,2.96,12.42,50.4,0.11,0.43,1.33,21.77,0.35,0.14,0.7,3.42,0.82,0.29,0.01,0.1,0.02,0.43,47.64,53.0
Kinney County,48271,17.79,39.62,45.38,79.7,0.62,0.93,2.84,11.28,43.93,0.27,0.92,1.42,25.93,0.41,0.27,0.82,5.06,0.86,0.2,0.02,0.24,0.05,0.52,30.3,37.55
Kleberg County,48273,20.13,36.06,42.77,77.66,0.64,0.76,2.97,13.55,53.79,0.44,2.26,1.58,41.04,0.45,0.47,0.71,5.62,1.06,0.19,0.02,0.17,0.03,0.4,35.2,43.0
Knox County,48275,16.18,37.1,42.27,77.49,0.74,0.9,3.11,14.17,52.04,0.24,1.12,1.57,30.59,0.45,0.31,0.82,4.49,1.33,0.25,0.01,0.12,0.03,0.42,51.87,58.92
Lamar County,48277,15.5,36.04,37.07,75.51,0.79,1.18,3.69,16.24,58.16,0.24,1.8,2.4,42.69,0.54,0.6,0.93,4.15,1.94,0.27,0.01,0.1,0.02,0.41,74.91,82.34
Lamb County,48279,17.32,37.87,42.0,76.63,0.78,1.13,3.53,14.63,54.47,0.32,1.15,2.12,33.86,0.56,0.4,0.93,4.91,1.28,0.23,0.02,0.07,0.02,0.35,58.47,65.94
Lampasas County,48281,13.58,35.83,37.01,77.29,0.74,1.01,3.21,13.79,53.1,0.15,0.82,2.04,23.29,0.38,0.29,0.78,5.2,1.0,0.21,0.01,0.18,0.06,0.46,60.54,67.98
La Salle County,48283,22.5,43.0,51.23,77.75,0.66,1.09,3.17,13.13,51.39,0.34,1.12,1.51,27.59,0.42,0.3,0.77,4.8,0.74,0.19,0.01,0.09,0.02,0.31,22.93,29.55
Lavaca County,48285,14.68,37.68,40.09,78.91,0.62,0.93,2.83,11.85,48.38,0.18,0.82,1.27,28.68,0.37,0.32,0.79,4.31,1.04,0.24,0.01,0.24,0.03,0.52,32.41,39.07
Lee County,48287,15.15,38.57,39.54,78.38,0.68,1.06,3.04,12.29,49.49,0.24,1.13,1.72,24.87,0.35,0.3,0.81,4.95,1.14,0.24,0.01,0.3,0.05,0.6,32.9,40.41
Leon County,48289,14.73,39.47,38.25,76.08,0.86,1.36,3.96,15.73,53.86,0.2,1.55,1.43,32.3,0.42,0.58,0.9,4.97,1.31,0.25,0.02,0.38,0.05,0.69,65.92,73.79
Liberty County,48291,16.48,39.35,43.98,74.16,0.88,1.32,4.05,18.06,62.36,0.28,1.84,1.43,35.97,0.53,0.38,0.81,4.1,1.19,0.28,0.02,0.8,0.06,1.16,84.38,91.64
Limestone County,48293,16.53,38.52,42.49,74.62,0.88,1.4,4.45,17.67,58.24,0.31,2.57,1.65,55.01,0.5,0.52,0.96,6.14,1.75,0.25,0.01,0.36,0.05,0.66,77.55,87.06
Lipscomb County,48295,14.33,36.0,37.16,77.82,0.75,1.1,3.16,12.56,51.35,0.14,0.53,1.64,26.31,0.42,0.2,0.87,4.14,1.06,0.24,0.02,0.25,0.02,0.54,58.45,65.06
Live Oak County,48297,16.4,37.16,40.75,79.44,0.63,0.91,2.81,11.15,45.73,0.19,0.99,1.24,20.09,0.34,0.32,0.79,4.55,0.87,0.2,0.01,0.21,0.02,0.44,35.27,41.94
Llano County,48299,12.68,36.57,33.61,79.32,0.7,0.95,3.01,11.29,45.44,0.17,0.83,2.02,27.98,0.33,0.48,0.79,4.63,0.98,0.24,0.1,0.21,0.24,0.79,48.01,55.19
Loving County,48301,16.54,36.41,37.82,73.85,1.01,1.68,3.57,17.03,65.15,0.1,0.41,1.83,31.43,0.41,0.16,0.98,4.76,1.18,0.24,0.15,0.17,0.11,0.67,84.62,92.21
Lubbock County,48303,14.82,34.63,37.34,76.86,0.72,0.75,3.33,14.59,55.44,0.28,2.33,2.41,39.21,0.64,0.49,0.91,6.07,1.32,0.21,0.02,0.1,0.03,0.35,68.57,77.22
Lynn County,48305,16.4,37.63,41.47,77.04,0.74,1.04,3.32,13.99,54.21,0.26,1.23,1.87,42.76,0.5,0.32,0.87,4.79,1.24,0.23,0.02,0.08,0.03,0.36,60.46,67.72
McCulloch County,48307,15.55,37.97,39.26,76.46,0.78,1.11,3.45,14.82,55.57,0.2,1.24,1.95,32.91,0.44,0.34,0.91,5.75,1.48,0.27,0.03,0.26,0.49,1.05,72.49,81.68
McLennan County,48309,15.61,35.44,41.48,77.24,0.72,0.77,3.25,14.63,52.84,0.33,2.96,1.88,41.95,0.46,0.53,0.75,6.56,1.25,0.2,0.01,0.21,0.02,0.43,48.34,57.33
McMullen County,48311,15.92,38.85,39.21,78.72,0.67,0.97,2.89,11.94,47.79,0.15,0.59,1.02,20.87,0.3,0.15,0.72,4.03,0.58,0.2,0.02,0.14,0.03,0.39,25.27,30.99
Madison County,48313,16.47,40.64,42.81,76.68,0.8,1.01,3.39,14.15,55.31,0.34,2.01,1.68,35.69,0.46,0.48,0.98,5.11,1.39,0.27,0.06,1.05,0.09,1.47,59.71,68.66
Marion County,48315,16.54,42.07,45.31,74.22,1.1,1.53,4.58,18.04,58.7,0.24,2.02,1.77,26.09,0.6,0.4,1.06,4.44,1.55,0.26,0.03,0.57,0.05,0.91,89.48,97.44
Martin County,48317,15.84,38.25,40.95,76.64,0.76,1.01,3.31,13.8,57.54,0.19,0.91,1.63,40.59,0.45,0.23,0.75,4.53,1.14,0.21,0.02,0.08,0.03,0.33,63.88,70.64
Mason County,48319,14.01,36.77,36.1,79.78,0.63,0.89,2.59,10.6,45.75,0.16,0.67,1.75,31.2,0.36,0.32,0.72,4.88,1.07,0.24,0.02,0.16,0.1,0.52,45.81,53.0
Matagorda County,48321,17.51,37.72,40.92,76.67,0.75,1.09,3.41,14.97,54.34,0.32,1.79,1.65,36.64,0.49,0.56,0.85,5.05,1.59,0.24,0.01,0.37,0.04,0.66,49.53,57.68
Maverick County,48323,23.61,42.88,48.42,79.18,0.57,0.97,2.77,10.83,48.31,0.69,1.83,1.77,43.04,0.51,0.31,0.82,7.46,0.73,0.2,0.01,0.11,0.02,0.34,26.72,36.08
Medina County,48325,16.83,37.0,41.38,78.7,0.63,0.97,2.82,12.07,49.02,0.28,1.13,1.63,29.31,0.38,0.35,0.8,5.88,0.89,0.18,0.01,0.08,0.02,0.29,40.74,48.6
Menard County,48327,16.41,36.82,39.48,77.87,0.73,0.94,2.98,13.22,50.81,0.17,0.62,1.57,33.0,0.41,0.28,0.85,5.37,1.33,0.27,0.02,0.14,0.08,0.51,47.0,55.06
Midland County,48329,14.93,37.39,35.25,78.36,0.66,1.0,2.91,12.18,50.23,0.22,0.98,2.05,52.36,0.48,0.24,0.64,4.47,0.99,0.18,0.01,0.06,0.04,0.3,56.04,62.43
Milam County,48331,15.72,38.21,41.69,76.82,0.79,1.18,3.4,14.33,53.67,0.27,1.66,2.77,35.46,0.44,0.43,0.93,5.0,1.32,0.25,0.02,0.58,0.14,1.0,51.13,59.38
Mills County,48333,13.86,36.56,37.86,78.52,0.73,1.03,2.94,11.84,49.16,0.16,0.69,1.97,35.03,0.41,0.32,0.81,4.62,1.05,0.25,0.03,0.27,0.1,0.65,47.85,54.97
Mitchell County,48335,16.88,37.87,41.75,75.66,0.81,1.12,3.54,15.71,58.88,0.31,1.23,1.7,45.97,0.52,0.3,0.9,5.27,1.48,0.24,0.02,0.12,0.04,0.42,85.21,93.28
Montague County,48337,14.0,38.49,38.19,74.94,0.83,1.25,4.13,16.53,59.97,0.2,1.32,2.19,46.75,0.42,0.31,0.79,4.02,1.15,0.27,0.01,0.1,0.02,0.41,63.19,69.55
Montgomery County,48339,13.74,36.58,35.21,78.74,0.57,0.96,2.49,11.34,51.57,0.25,1.38,1.71,26.88,0.41,0.41,0.62,4.78,0.83,0.24,0.01,0.22,0.02,0.49,54.77,61.49
Moore County,48341,17.02,39.09,41.12,77.65,0.7,1.1,3.04,12.57,53.46,0.38,1.23,2.37,26.17,0.54,0.38,0.87,4.67,1.09,0.22,0.04,0.18,0.03,0.46,68.07,75.17
